No,Language,Language (local),Wiki,Articles,All pages,Edits,Admins,Users,Active users,Files,Depth
1,English,English,en,"7,085,394","64,396,510","1,315,739,516",829,"49,932,265","115,920","952,211","1,336"
2,Cebuano,Cebuano,ceb,"6,115,897","11,230,118","36,519,091",7,"133,421",175,3,2
3,German,Deutsch,de,"3,066,100","8,411,906","259,348,405",169,"4,799,705","38,742","130,270",93
4,French,français,fr,"2,718,476","13,712,452","229,907,583",141,"5,436,542","41,010","77,366",274
5,Swedish,svenska,sv,"2,619,400","6,339,529","58,422,053",64,"978,650","5,155",0,18
6,Dutch,Nederlands,nl,"2,201,291","4,737,801","69,953,986",30,"1,465,537","8,927",20,19
7,Spanish,español,es,"2,072,047","8,522,593","169,859,793",52,"7,524,848","12,438",0,193
8,Russian,русский,ru,"2,070,080","8,413,008","149,296,521",62,"3,822,608","7,757","262,552",166
9,Italian,italiano,it,"1,942,936","8,441,616","147,279,340",111,"2,737,042","30,722","122,463",195
10,Polish,polski,pl,"1,673,794","3,949,175","77,760,016",96,"1,448,683","11,441",264,36
11,Egyptian Arabic,مصرى,arz,"1,629,516","2,198,246","12,542,684",7,"272,244",360,"1,312",0
12,Chinese,中文,zh,"1,508,665","8,224,834","89,498,480",66,"3,876,797","16,964","69,167",215
13,Japanese,日本語,ja,"1,479,071","4,345,683","106,905,368",40,"2,456,877","26,155","5,713",92
14,Ukrainian,українська,uk,"1,396,238","5,004,488","46,403,022",49,"844,892","6,290","114,188",61
15,Vietnamese,Tiếng Việt,vi,"1,296,626","14,609,329","74,290,987",16,"1,013,475","3,339","27,214",536
16,Arabic,العربية,ar,"1,284,599","8,954,901","72,264,382",26,"2,815,338","8,944","55,606",287
17,Waray,Winaray,war,"1,266,814","2,870,586","7,725,441",3,"64,511",104,42,4
18,Portuguese,português,pt,"1,159,243","5,998,970","70,955,781",50,"3,306,449","8,100","66,473",206
19,Persian,فارسی,fa,"1,060,626","5,988,929","42,891,712",36,"1,455,295","10,853","96,952",154
20,Catalan,català,ca,"783,433","1,966,026","36,391,471",26,"531,952","2,915","11,374",42
21,Indonesian,Bahasa Indonesia,id,"749,384","4,155,465","28,318,651",48,"1,603,494","7,065","64,239",140
22,Korean,한국어,ko,"727,031","3,472,760","40,749,844",27,"946,326","6,852","14,995",167
23,Serbian,српски / srpski,sr,"712,387","4,215,816","30,473,763",15,"490,692","2,077","39,759",174
24,Norwegian,norsk,no,"658,342","1,883,305","25,387,053",41,"677,362","2,913",4,46
25,Chechen,нохчийн,ce,"655,165","1,288,963","11,013,222",3,"43,430",107,334,7
26,Turkish,Türkçe,tr,"650,891","3,369,324","36,282,218",23,"1,737,342","5,646","43,915",187
27,Finnish,suomi,fi,"606,688","1,559,158","23,605,165",35,"621,595","3,652","79,695",37
28,Czech,čeština,cs,"579,686","1,616,601","25,328,322",32,"733,932","5,378",1,50
29,Hungarian,magyar,hu,"562,497","1,599,268","28,455,572",24,"601,281","1,390","9,391",60
30,Tatar,татарча / tatarça,tt,"560,324","896,067","4,642,865",8,"57,607",138,"6,884",1
31,Romanian,română,ro,"517,936","2,932,279","17,198,934",18,"717,774","2,142","119,973",127
32,Basque,euskara,eu,"474,669","1,019,165","10,427,554",12,"181,003",987,0,13
33,Serbo-Croatian,srpskohrvatski / српскохрватски,sh,"461,167","4,626,951","42,489,103",8,"297,541",417,"9,972",749
34,Malay,Bahasa Melayu,ms,"434,096","1,166,529","6,673,677",13,"368,699","2,683","17,908",16
35,Minnan,閩南語 / Bân-lâm-gí,zh-min-nan,"433,832","1,074,768","3,249,741",3,"70,015",145,292,6
36,Hebrew,עברית,he,"385,423","1,622,726","42,042,253",28,"1,248,739","7,879","86,323",267
37,Esperanto,Esperanto,eo,"377,379","846,999","9,201,089",12,"243,954",498,"19,251",16
38,Armenian,հայերեն,hy,"322,933","1,185,813","10,478,145",10,"159,946",725,"12,353",63
39,Uzbek,oʻzbekcha / ўзбекча,uz,"311,354","1,146,237","5,770,864",10,"211,268",838,"4,022",36
40,Danish,dansk,da,"311,323","975,833","12,125,498",25,"535,842","1,765",0,56
41,Bulgarian,български,bg,"306,389","693,568","12,712,015",20,"370,316","1,983",13,29
42,Welsh,Cymraeg,cy,"283,701","534,199","14,299,981",11,"101,651",187,"12,098",20
43,Simple English,Simple English,simple,"275,642","912,899","10,588,009",24,"1,663,890","4,699",36,61
44,Greek,Ελληνικά,el,"260,364","733,652","11,334,961",22,"469,516","2,668","19,544",51
45,Belarusian,беларуская,be,"256,974","718,906","5,044,592",9,"157,898",410,"3,545",22
46,Slovak,slovenčina,sk,"256,406","594,485","8,089,890",11,"274,114","1,488",0,23
47,Estonian,eesti,et,"255,633","602,653","7,002,325",36,"213,350","1,295",670,21
48,South Azerbaijani,تۆرکجه,azb,"244,356","579,740","1,579,826",4,"58,456",120,506,5
49,Kazakh,қазақша,kk,"240,832","655,642","3,512,938",15,"170,071",410,"8,597",15
50,Urdu,اردو,ur,"234,302","2,291,924","9,161,368",8,"201,244",433,"8,240",308
51,Minangkabau,Minangkabau,min,"228,666","473,695","3,186,868",5,"22,264",82,180,7
52,Croatian,hrvatski,hr,"228,301","492,096","7,311,862",14,"338,871","1,285","21,130",19
53,Galician,galego,gl,"227,466","558,309","7,217,086",6,"159,926",523,34,27
54,Lithuanian,lietuvių,lt,"223,943","558,923","7,672,448",9,"204,559",803,"26,885",30
55,Azerbaijani,azərbaycanca,az,"208,875","633,615","8,354,054",12,"323,171","1,267","14,694",54
56,Slovenian,slovenščina,sl,"195,563","498,075","6,524,318",22,"247,721",761,"8,758",31
57,Georgian,ქართული,ka,"186,482","519,907","4,910,392",6,"173,656",475,"15,844",30
58,Ladin,Ladin,lld,"180,807","187,810","243,096",3,"11,371",46,4,0
59,Tamil,தமிழ்,ta,"178,145","607,064","4,388,008",32,"248,904",650,"9,531",41
60,Thai,ไทย,th,"177,293","1,149,648","12,621,013",20,"516,412","3,529","6,257",330
61,Bangla,বাংলা,bn,"176,943","1,365,117","8,553,793",15,"510,006","2,372","20,863",282
62,Norwegian Nynorsk,norsk nynorsk,nn,"176,835","398,306","3,621,427",14,"147,262",198,10,14
63,Hindi,हिन्दी,hi,"167,165","1,381,865","6,480,262",7,"875,066","1,441","4,643",247
64,Macedonian,македонски,mk,"156,205","588,805","5,457,650",12,"126,538",356,"8,787",71
65,Cantonese,粵語,zh-yue,"147,648","333,180","2,338,122",11,"311,344","1,028","3,006",11
66,Latin,Latina,la,"140,670","290,732","3,915,137",21,"198,189",231,0,15
67,Latvian,latviešu,lv,"138,314","554,247","4,350,655",14,"135,632",618,"27,936",70
68,Asturian,asturianu,ast,"137,720","245,612","4,433,973",7,"139,178",165,0,11
69,Afrikaans,Afrikaans,af,"126,903","432,594","2,843,864",14,"195,463",310,"9,876",38
70,Telugu,తెలుగు,te,"116,702","398,998","4,563,538",11,"140,083",427,"14,715",66
71,Tajik,тоҷикӣ,tg,"116,029","283,687","1,444,507",6,"93,032",157,531,10
72,Burmese,မြန်မာဘာသာ,my,"109,775","260,061","953,353",4,"133,309",328,"2,935",6
73,Albanian,shqip,sq,"104,526","319,662","2,864,642",5,"177,397",499,"3,435",37
74,Swahili,Kiswahili,sw,"102,618","206,332","1,463,171",14,"83,209",441,"1,189",7
75,Malagasy,Malagasy,mg,"101,234","258,526","1,120,969",2,"37,237",92,3,10
76,Marathi,मराठी,mr,"100,679","325,227","2,622,435",10,"174,172",412,"2,432",40
77,Bosnian,bosanski,bs,"96,031","381,056","3,766,258",9,"173,347",308,"5,296",87
78,Kurdish,kurdî,ku,"90,899","288,974","1,960,283",3,"117,152",211,555,32
79,Occitan,occitan,oc,"90,333","166,438","2,474,189",4,"60,325",154,305,10
80,Belarusian (Taraškievica orthography),беларуская (тарашкевіца),be-tarask,"89,882","263,576","2,633,647",4,"92,820",155,"2,182",37
81,Breton,brezhoneg,br,"89,691","159,671","2,159,051",6,"87,139",138,517,8
82,Malayalam,മലയാളം,ml,"87,348","547,518","4,325,349",14,"196,321",541,"7,411",219
83,Low German,Plattdüütsch,nds,"85,758","184,750","1,044,762",3,"59,262",69,0,7
84,Lombard,lombard,lmo,"79,734","152,485","1,317,421",3,"49,335",92,795,7
85,Central Kurdish,کوردی,ckb,"79,112","251,656","1,512,216",7,"71,269",182,"2,976",28
86,Kyrgyz,кыргызча,ky,"76,052","110,057","546,664",4,"45,028",158,"2,681",0
87,Javanese,Jawa,jv,"74,673","185,429","1,734,490",5,"68,808",209,"4,343",20
88,Western Punjabi,پنجابی,pnb,"74,641","140,088","692,973",2,"42,240",77,31,3
89,Newari,नेपाल भाषा,new,"72,601","166,619","873,246",2,"30,180",25,0,8
90,Hausa,Hausa,ha,"71,959","109,710","730,632",15,"38,853",232,0,1
91,Haitian Creole,Kreyòl ayisyen,ht,"71,122","92,356","869,322",2,"36,959",118,0,0
92,Piedmontese,Piemontèis,pms,"70,618","106,629","878,584",4,"30,355",51,"1,893",2
93,Venetian,vèneto,vec,"69,519","143,302","1,220,829",4,"39,946",59,724,9
94,Luxembourgish,Lëtzebuergesch,lb,"66,031","143,803","2,640,317",8,"67,801",124,"2,531",25
95,Mazanderani,مازِرونی,mzn,"64,332","106,855","325,207",4,"43,355",47,411,1
96,Bashkir,башҡортса,ba,"63,915","183,874","1,286,797",4,"45,645",88,"1,430",24
97,Irish,Gaeilge,ga,"62,583","111,961","1,283,200",7,"68,891",116,"1,007",7
98,Sundanese,Sunda,su,"62,134","99,698","691,129",7,"34,636",78,419,2
99,Icelandic,íslenska,is,"60,786","158,621","1,930,283",11,"108,747",324,"3,276",31
100,Ido,Ido,io,"59,988","85,048","1,085,708",4,"43,296",89,0,2
101,Silesian,ślůnski,szl,"59,528","75,896","381,002",3,"28,148",49,0,0
102,Punjabi,ਪੰਜਾਬੀ,pa,"59,154","189,766","821,697",10,"56,102",143,"1,861",21
103,Western Frisian,Frysk,fy,"58,430","175,308","1,207,497",7,"55,069",91,"7,595",27
104,Chuvash,чӑвашла,cv,"58,018","120,601","862,301",2,"38,526",59,530,8
105,Aragonese,aragonés,an,"50,457","182,261","2,338,259",9,"84,862",97,"1,912",87
106,Tagalog,Tagalog,tl,"48,760","247,717","2,177,354",10,"154,278",317,"1,823",146
107,Gilaki,گیلکی,glk,"48,352","57,630","154,566",2,"17,822",40,811,0
108,Wu,吴语,wuu,"46,892","71,140","380,012",4,"170,860",146,6,1
109,Volapük,Volapük,vo,"45,880","163,511","3,320,065",2,"39,239",36,0,133
110,Igbo,Igbo,ig,"43,757","60,027","328,742",4,"33,426",121,0,0
111,Dimli,Zazaki,diq,"42,340","63,880","538,195",3,"32,048",42,193,2
112,Yoruba,Yorùbá,yo,"36,234","60,965","603,898",4,"32,400",84,160,4
113,Scots,Scots,sco,"34,282","138,168","902,419",3,"121,859",143,424,59
114,Kannada,ಕನ್ನಡ,kn,"34,010","157,597","1,312,922",5,"94,180",255,"2,362",110
115,Balinese,Basa Bali,ban,"33,792","68,290","239,260",3,"62,934",154,143,3
116,Alemannic,Alemannisch,als,"31,379","74,663","1,073,493",7,"114,373",137,595,27
117,Gujarati,ગુજરાતી,gu,"30,707","134,432","891,741",3,"83,486",171,0,75
118,Interlingua,interlingua,ia,"30,146","45,762","682,516",6,"56,522",56,4,4
119,Kotava,Kotava,avk,"29,896","36,342","146,354",6,"7,551",27,0,0
120,Crimean Tatar,qırımtatarca,crh,"29,616","57,486","240,640",2,"53,483",64,0,3
121,Nepali,नेपाली,ne,"29,218","111,529","1,319,631",5,"74,006",195,"1,468",93
122,Bavarian,Boarisch,bar,"27,200","110,538","849,678",2,"77,008",64,"1,153",72
123,Mongolian,монгол,mn,"26,421","113,104","836,396",5,"99,189",283,"1,341",79
124,Sicilian,sicilianu,scn,"26,132","56,014","769,361",4,"48,890",76,"1,077",17
125,Bishnupriya,বিষ্ণুপ্রিয়া মণিপুরী,bpy,"25,092","63,451","895,156",2,"27,486",26,35,32
126,Sinhala,සිංහල,si,"24,602","166,020","767,743",3,"74,886",223,"2,932",152
127,Saraiki,سرائیکی,skr,"24,331","28,646","65,206",2,"3,802",27,0,0
128,Quechua,Runa Simi,qu,"24,205","58,220","678,905",1,"33,231",54,0,23
129,Navajo,Diné bizaad,nv,"22,664","37,318","308,434",2,"19,894",24,736,3
130,Mingrelian,მარგალური,xmf,"21,914","41,504","242,833",3,"22,055",43,0,4
131,Ossetic,ирон,os,"21,358","76,392","589,526",3,"27,177",44,149,51
132,Central Bikol,Bikol Central,bcl,"21,122","49,870","297,921",4,"29,017",101,798,11
133,Pashto,پښتو,ps,"20,813","74,753","356,645",3,"37,234",88,"1,815",32
134,Northern Frisian,Nordfriisk,frr,"20,663","51,266","275,199",4,"23,201",35,"1,482",11
135,Odia,ଓଡ଼ିଆ,or,"19,953","85,093","569,720",4,"39,944",104,170,71
136,Assamese,অসমীয়া,as,"19,919","114,909","547,401",6,"46,604",156,"2,345",108
137,Sindhi,سنڌي,sd,"19,580","70,103","339,184",4,"20,967",86,158,32
138,Tumbuka,chiTumbuka,tum,"18,794","39,187","106,473",4,"10,574",26,138,3
139,Yakut,саха тыла,sah,"17,750","53,763","420,842",4,"27,830",68,"1,765",32
140,Samogitian,žemaitėška,bat-smg,"17,273","30,043","362,250",4,"28,199",30,109,6
141,Mindong,閩東語 / Mìng-dĕ̤ng-ngṳ̄,cdo,"16,684","33,544","104,045",3,"24,056",35,0,3
142,Scottish Gaelic,Gàidhlig,gd,"16,012","32,581","579,245",5,"31,059",39,290,19
143,Buginese,Basa Ugi,bug,"15,955","20,464","205,555",1,"14,774",18,0,0
144,Yiddish,ייִדיש,yi,"15,632","44,403","597,770",3,"58,171",71,985,45
145,Amharic,አማርኛ,am,"15,458","46,415","387,081",1,"53,052",112,"1,359",33
146,Iloko,Ilokano,ilo,"15,433","70,529","404,250",2,"19,292",55,0,73
147,Limburgish,Limburgs,li,"15,138","68,639","483,269",7,"32,137",45,622,87
148,Neapolitan,Napulitano,nap,"14,935","24,154","670,579",3,"33,202",39,287,10
149,Gorontalo,Bahasa Hulontalo,gor,"14,854","24,314","61,941",3,"7,641",43,0,1
150,Shan,တႆး,shn,"14,249","33,871","114,755",2,"5,702",27,74,6
151,Maithili,मैथिली,mai,"14,246","45,161","270,234",4,"16,271",50,126,28
152,Upper Sorbian,hornjoserbsce,hsb,"14,184","36,313","388,074",4,"27,353",40,126,26
153,Faroese,føroyskt,fo,"14,177","41,103","385,887",3,"33,363",76,0,33
154,Banyumasan,Basa Banyumasan,map-bms,"13,940","30,440","221,639",1,"19,253",58,452,10
155,Literary Chinese,文言,zh-classical,"13,855","116,245","425,110",6,"110,622",79,0,199
156,Santali,ᱥᱟᱱᱛᱟᱲᱤ,sat,"13,817","29,570","178,394",3,"10,045",48,0,7
157,Emiliano-Romagnolo,emiliàn e rumagnòl,eml,"13,687","36,713","164,637",3,"29,625",48,"2,818",12
